index,coordx,coordz
0,0.0,1.0
1,0.9998000399920016,1.0
2,1.9996000799840032,1.0
3,2.9994001199760048,1.0
4,3.9992001599680065,1.0
5,4.999000199960008,1.0
6,5.9988002399520095,1.0
7,6.998600279944012,1.0
8,7.998400319936013,1.0
9,8.998200359928015,1.0
10,9.998000399920016,1.0
11,10.997800439912018,1.0
12,11.997600479904019,1.0
13,12.99740051989602,1.0
14,13.997200559888023,1.0
15,14.997000599880025,1.0
16,15.996800639872026,1.0
17,16.996600679864027,1.0
18,17.99640071985603,1.0
19,18.99620075984803,1.0
20,19.996000799840033,1.0
21,20.995800839832032,1.0
22,21.995600879824035,1.0
23,22.99540091981604,1.0
24,23.995200959808038,1.0
25,24.99500099980004,1.0
26,25.99480103979204,1.0
27,26.994601079784044,1.0
28,27.994401119776047,1.0
29,28.994201159768046,1.0
30,29.99400119976005,1.0
31,30.99380123975205,1.0
32,31.993601279744052,1.0
33,32.99340131973605,1.0
34,33.993201359728054,1.0
35,34.99300139972006,1.0
36,35.99280143971206,1.0
37,36.99260147970406,1.0
38,37.99240151969606,1.0
39,38.99220155968806,1.0
40,39.992001599680066,1.0
41,40.99180163967207,1.0
42,41.991601679664065,1.0
43,42.99140171965607,1.0
44,43.99120175964807,1.0
45,44.991001799640074,1.0
46,45.99080183963208,1.0
47,46.99060187962407,1.0
48,47.990401919616076,1.0
49,48.99020195960808,1.0
50,49.99000199960008,1.0
51,50.989802039592085,1.0
52,51.98960207958408,1.0
53,52.989402119576084,1.0
54,53.98920215956809,1.0
55,54.98900219956009,1.0
56,55.98880223955209,1.0
57,56.98860227954409,1.0
58,57.98840231953609,1.0
59,58.988202359528096,1.0
60,59.9880023995201,1.0
61,60.9878024395121,1.0
62,61.9876024795041,1.0
63,62.9874025194961,1.0
64,63.987202559488104,1.0
65,64.9870025994801,1.0
66,65.9868026394721,1.0
67,66.98660267946411,1.0
68,67.98640271945611,1.0
69,68.9862027594481,1.0
70,69.98600279944012,1.0
71,70.98580283943211,1.0
72,71.98560287942412,1.0
73,72.98540291941612,1.0
74,73.98520295940811,1.0
75,74.98500299940012,1.0
76,75.98480303939212,1.0
77,76.98460307938413,1.0
78,77.98440311937613,1.0
79,78.98420315936812,1.0
80,79.98400319936013,1.0
81,80.98380323935213,1.0
82,81.98360327934414,1.0
83,82.98340331933613,1.0
84,83.98320335932813,1.0
85,84.98300339932014,1.0
86,85.98280343931214,1.0
87,86.98260347930415,1.0
88,87.98240351929614,1.0
89,88.98220355928814,1.0
90,89.98200359928015,1.0
91,90.98180363927214,1.0
92,91.98160367926415,1.0
93,92.98140371925615,1.0
94,93.98120375924815,1.0
95,94.98100379924016,1.0
96,95.98080383923215,1.0
97,96.98060387922416,1.0
98,97.98040391921616,1.0
99,98.98020395920815,1.0
100,99.98000399920016,1.0
101,100.97980403919216,1.0
102,101.97960407918417,1.0
103,102.97940411917617,1.0
104,103.97920415916816,1.0
